Score,Location Name,Page Title,Longitude,Latitude
18.52615242171948,California,"18 Best Christmas Towns In California To Visit In 2025 + Christmas Markets, Places To Go – Travel With Me 24 X 7",-118.755997,36.7014631
15.756126205524595,North Carolina,12 Best Christmas Towns In North Carolina To Visit In 2025 + Christmas Markets &amp; Mass – Travel With Me 24 X 7,-79.0392919,35.6729639
14.269020755362238,Maryland,Maryland Road Trip Itinerary - Best Things To Do in Maryland – Travel With Me 24 X 7,-76.9382069,39.5162401
14.11654240019129,Sonoma,"Perfect Sonoma Itinerary 3 Days - Best Things to do In Sonoma, California – Travel With Me 24 X 7",-122.8473388,38.5110803
14.049494353809262,Europe,The Most Underrated Destinations in Europe You Should Visit – Mark's Travel Journal,10.0,51.0
13.627975896113902,Maine,Best Maine Beach Towns for Summer Fun and Adventure,-68.8590201,45.709097
13.444514992260983,San Francisco,"10 Cute Towns Near San Francisco - Best Cities Near San Francisco, California – Travel With Me 24 X 7",-122.4193286,37.7792588
13.396062065714839,Boston,10 Cute Towns near Boston - Best Small Towns to Visit near Boston – Travel With Me 24 X 7,-71.060511,42.3554334
13.215268198169353,US,Plan Northeast USA Road Trip - Best Places to Visit in Northeast US – Travel With Me 24 X 7,-100.445882,39.7837304
13.197250019267493,Boston,Best Day Trips from Boston: A Local's Guide to New England,-71.060511,42.3554334
13.146683940055723,Oregon Coast,Best Oregon Coast Road Trip - 5-Day Oregon Coast Itinerary – Travel With Me 24 X 7,151.471572,-33.2487066
12.866027189771835,Tennessee,15 Best Christmas Towns In Tennessee To Visit In 2025 With Festive Events + Markets + Mass – Travel With Me 24 X 7,-86.2820081,35.7730076
12.57147002660366,Houston,10 Best Road Trips from Houston- Perfect Weekend Getaways – Travel With Me 24 X 7,-95.3676974,29.7589382
12.436926623680838,France,French Christmas markets in the Alsace - Travel with Wendy,1.8883335,46.603354
12.23864738079942,Santa Barbara,Best Day Trips From Santa Barbara California – Travel With Me 24 X 7,-119.702667,34.4221319
12.230268323426532,San Francisco,"7 Best Beaches near San Francisco - Things To Do, Scenic Spot &amp; Pet Policies – Travel With Me 24 X 7",-122.4193286,37.7792588
12.176567168950717,Oregon,5 Magical Christmas Towns in Oregon to Visit in 2025 - Best Things To Do – Travel With Me 24 X 7,-120.737257,43.9792797
12.065165342017442,San Francisco,Ultimate San Francisco to Seattle Drive - Best Things to do – Travel With Me 24 X 7,-122.4193286,37.7792588
11.853388083420864,Europe,50 European Countries in Alphabetical Order - Forever Traveling,10.0,51.0
11.535537613194979,Vermont,Vermont Road Trip - Best Places to Visit in Vermont – Travel With Me 24 X 7,-72.5002608,44.5990718
11.265385804107446,India,India a Must Trip - The Women's Travel Group,78.6677428,22.3511148
11.225877845205689,Maine,The Best of Summer in Maine: 50 Things to Do Outside in Maine,-68.8590201,45.709097
11.208027237817916,Germany,My Favorite Faschings! - Travel with Wendy German Festival,10.4478313,51.1638175
11.097962376953285,Las Vegas Road,Best San Diego to Las Vegas Road Trip Itinerary - A Scenic Drive – Travel With Me 24 X 7,-81.6183076,30.1809234
11.0508597250912,California,Discovering California’s Small Towns and Hidden Beaches off the Beaten Path – Mark's Travel Journal,-118.755997,36.7014631
